cat,source,machine,title,body,url,quality,dup_key,author
spec,チョンボリスタ,スマスロ バイオハザードRE:3,初当たり1/399の重さ…5ch「打つ前から腰引けた」,5月11日導入のバイオRE3、初当たり設定1で1/399。コイン単価3.4円でこの重さは投資額がシャレにならない、と事前から懸念の声が広がっている。純増も通常時1枚でATの4.5枚との落差が激しく、当たらず駆け抜けるだけで大ダメージが確定するリスクが問題視されている。,https://chonborista.com/slot/enta-slot/253191/,4,スマスロバイオRE3初当たり重さ事前懸念コイン単価3.4円_game,スロ専門編集
spec,チョンボリスタ,スマスロ バイオハザードRE:3,「パンデミックチャンスがゴミST」5ch酷評まとまる,バイオRE3の上位AT「パンデミックチャンス」はST方式だが、5chでは「ゴミSTで終わり」と酷評が集中。CZ「ネメシスバトル」の期待度37%の低さと合わせ、ポイント貯め→CZ→低期待度→ST駆け抜けというストレスフルなゲームフローが不評の根本として指摘されている。,https://chonborista.com/slot/enta-slot/253191/,4,スマスロバイオRE3パンデミックチャンスゴミST5ch酷評_game,深夜のスロライター
episode,DMMぱちタウン,スマスロ バイオハザードRE:3,「初当たり取れなかっただけで10万負け」笑えない試算,バイオRE3のコイン単価3.4円・初当たり1/399設定1という数字から打ち手が試算。「2000G回して初当たり0回も普通にある。そこまでの投資は余裕で5万を超える」とスレで笑えない計算が話題に。実際のホール稼働でどんな数字が出るか、5月11日以降に注目が集まっている。,https://p-town.dmm.com/machines/4974/review,4,スマスロバイオRE3初当たり取れず10万負け試算笑えない_episode,編集部のマニア
spec,チョンボリスタ,スマスロ バイオハザードRE:3,「ネメシスとの死闘がレバーオンに直結」演出設計は高評価,バイオRE3に批判が多い中、演出面は評価が高い。「ネメシスとの死闘がそのままレバーオンの叩きどころに直結するシームレスな構成はよくできている」という声が試打後に続出。ゲーム性の難点とは別に演出の完成度については「スペックが違えば神台になれた」との評価が散見される。,https://chonborista.com/slot/enta-slot/253191/,3,スマスロバイオRE3ネメシス死闘演出シームレス高評価_spec,スロキー編集部
spec,チョンボリスタ,Lビッグドリーム-THE GOLDEN PUSHER-,純増8.2枚・5000枚オーバー率58%(設定1でも)の爆裂仕様,サミー製「Lビッグドリーム-THE GOLDEN PUSHER-」が5月11日導入。純増8.2枚/G、設定1でも5000枚オーバー率58%という衝撃スペック。機械割97.4〜111.3%で出るときはまとめて出るゴリラ設計。同日導入のバイオRE3（純増通常1枚）と対照的で、打ち手が選ぶ台として話題になっている。,https://chonborista.com/slot/sammy-slot/254356/,5,LビッグドリームゴールデンプッシャーSAMMY純増8.2枚5000枚58%_spec,パチスロ記者
spec,チョンボリスタ,Lビッグドリーム-THE GOLDEN PUSHER-,プレミアフラグ「DREAM JP BONUS」確率1/8445の夢を買う台,ビッグドリームのプレミア上乗せ「DREAM JP BONUS」は確率1/8445で発動すると4桁上乗せ確定。「ゴッド揃いよりは引きやすいが激レアには変わりない」「これを引いたら動画が上がる」と打ち手が期待値より夢で打つ設計。サミーがゴッドと同日に対抗馬を出してきた形。,https://chonborista.com/slot/sammy-slot/254356/,5,LビッグドリームDREAMJPBONUS確率1_8445プレミア4桁上乗せ_spec,編集部AI
spec,P-WORLD,Lビッグドリーム-THE GOLDEN PUSHER-,メダルプッシャーゲームをスロットに落とし込んだ異色設計,ビッグドリームはゲームセンターのメダルプッシャー（コインが落ちていく台）のゲーム性をパチスロに融合した異色作。枚数を積み上げて「落とし込む」演出が特徴。純増8.2枚という暴力的なスペックとの組み合わせで、サミーらしいゲーム性重視の姿勢が感じられる1台。,https://www.p-world.co.jp/machine/database/10446,4,Lビッグドリームゴールデンプッシャーメダルプッシャー異色設計_spec,スロ好き編集マン
spec,チョンボリスタ,Lビッグドリーム-THE GOLDEN PUSHER-,初当たり1/629という唯一の弱点……当たれば爆発の二極設計,ビッグドリームはCZ確率1/337〜1/303、AT当選確率1/629〜1/536（設定1〜6）と初当たりは重め。純増8.2枚の爆発力の代償として「当たらなければ何も起きない」超二極設計。5000枚オーバー率58%の裏にある「その日当たらない」リスクを理解してから打ちに行く必要がある。,https://chonborista.com/slot/sammy-slot/254356/,4,LビッグドリームゴールデンプッシャーAT初当たり1_629二極設計_spec,ライター見習い
hall,マイナビニュース,全般,「2026 SAO YEAR」始動——京楽×大都技研がメーカー超えて初タッグ,2026年4月28日発表。「ソードアート・オンライン」を軸に、大都技研（スマスロSAO2）と京楽産業（スマパチSAO）がメーカーの枠を超えた初の共同プロモーション「2026 SAO YEAR」を展開。ホール装飾4種・SNSコラボ・共同キャンペーンを実施し、6月8日に合わせて導入予定。ライバルメーカー同士のIP連動は業界的にも珍しい動き。,https://news.mynavi.jp/article/20260428-4396548/,5,2026SAOYEARプロジェクト京楽大都技研メーカー超え業界初タッグ_hall,編集長補佐
episode,マイナビニュース,スマスロ ソードアート・オンラインⅡ,SAO YEAR発表でスマスロSAO2の立ち回り読みがざわつく,「2026 SAO YEAR」発表を受け、すでに導入済みのスマスロSAO2（大都技研）への関心が再燃。「6月8日まで店が据え置きで使う可能性が出てきた」「SAO YEAR絡みで設定入りやすくなるか」と立ち回り勢がざわついている。パチスロ×パチンコのIP連動で店側の設定判断にも影響が出そうな状況。,https://news.mynavi.jp/article/20260428-4396548/,4,スマスロSAO2SAOYEAR発表で稼働注目再燃据え置き立ち回り_episode,編集部AI
