"cat","source","machine","title","body","url","quality","dup_key","author"
"column","スロクリ編集部（SIS週次データ）","全般","新台は導入から1か月が一番出ない。152機種の出玉率は26週かけて0.4ポイント上がる","導入1〜4週の出玉率中央値は98.5%で、21〜26週の98.9%より0.4ポイント低い。SIS週次で26週以上のデータがあり観測開始後に導入された152機種を、導入からの経過週で並べた結果。1〜4週98.5%→5〜8週98.6%→9〜13週98.7%→14〜20週98.9%→21〜26週98.9%と単調に上がる。その週の全機種中央値との差で見ても-0.25ptから+0.1ptへ動く。機種の中で13〜26週と1〜4週を比べると差の中央値は+0.35ptで、144機種中111機種（77.1%）が上がった。上がり幅が大きいのはLゴジラ+2.3pt、LスマスロストリートファイターV挑戦者の道+1.57pt、Lバーニングエクスプレス+1.55pt。下がった側はLアカメが斬る！2が-0.85pt、L沖ドキ！DUOアンコールが-0.6pt。一方で1台1日あたりのアウトは1〜4週の15788枚から21〜26週の5149枚まで67.4%減る。数字が良くなる頃には打ち手が残っていない、という順番になっている。","","5","column_dounyuu_go_26shuu_deidamaritsu_curve_152kishu_1_4shuu_985_5_8_986_9_13_987_14_20_989_21_26_989_soutai_minus025_plus010_kishunai_plus035pt_111_144_771pct_gojira_plus23_sf5_plus157_burning_plus155_akame2_minus085_okidoki_duo_minus06_out_15788_5149_minus674pct","編集部AI"
"column","スロクリ編集部（SIS週次データ）","Lうみねこのなく頃に2","1台が1日に店へ残す粗利は116機種の中央値で2016円。マイナスの台が2機種ある","SIS週次の粗利（1台1日あたり）を直近13週＝2026年5月18日週から8月10日週で見ると、10週以上載った116機種の中央値は2016円だった。最も高いのはLソードアート・オンラインIIの14402円で中央値の7.1倍。2位Lミリオンゴッド-神々の軌跡-が12337円、3位L真打吉宗8349円、4位L戦国乙女5業火を穿つ宿焔の双刃6234円、5位LビッグドリームTHE GOLDEN PUSHER5634円。マイナスは2機種だけで、LディスクアップULTRAREMIXが-1004円、Lうみねこのなく頃に2が-658円。うみねこ2は出玉率の中央値100.8%・コイン単価1.69円で、1台1日12541枚回っても店の取り分が出ていない。粗利とアウトの相関は+0.622、出玉率とは-0.563。SAO2が1位なのはアウト21060枚と出玉率97.8%の掛け算で、回るから高いのではなく回る台で出ていないから高い。台を選ぶ側から見ると、この数字がそのまま1日の負けの目安になる。","","5","column_1dai_1nichi_arari_116kishu_chuuouchi_2016en_saikou_sao2_14402en_71bai_milliongod_12337_shinuchi_yoshimune_8349_sengokuotome5_6234_bigdream_5634_minus_2ki_diskup_ultraremix_minus1004_umineko2_minus658_soukan_out_plus0622_deidamaritsu_minus0563","スロキー編集部"
"column","スロクリ編集部（SIS週次・全国日次データ）","全般","新台が何機種入った週でも既存台の出玉率は98.8%のまま。147週を並べて比べた","新台入替の週は既存の台が締まる、という話を週次データで確かめると差が出なかった。SIS週次147週＝2023年10月16日週から2026年8月10日週について、その週に新しく載った機種数と、導入5週目以降の既存機の出玉率中央値を突き合わせた。新台0機種の週が91週で98.80%、1機種13週98.80%、2機種5週98.85%、3機種16週98.80%、4機種以上22週98.85%。新台が8機種入った2025年6月2日の週は99.0%で、147週の中央値98.80%より高い。週ごとのばらつきは標準偏差0.198ptあるが、その内訳を新台の本数では説明できない。翌週にずれ込む形も見えず、新台3機種以上の翌週38週は98.78%だった。月内の位置でも動かない。全国日次602日を割ると1〜10日98.93%、11〜20日98.94%、21日〜月末98.95%、給料日の25日は98.995%で全体の98.94%とほぼ同じ。日を選ぶより台を選ぶほうが効く。","","5","column_shindai_irekae_shuu_kizonki_deidamaritsu_147shuu_shindai0ki_91shuu_9880_1ki_9880_2ki_9885_3ki_9880_4ki_ijou_9885_20250602_8ki_990_sd_0198pt_yokushuu_9878_tsukinai_1_10nichi_9893_11_20_9894_21_matsu_9895_25nichi_98995","パチスロ記者"
"new","パーラーフルスロットル","スマスロ 獣王","獣王は10月5日導入。同じ当たりでも中身がナビ10回・20回・30回・EXの4段階に割れる","サミーが10月5日にスマスロ獣王を導入する。純増約8.0枚の「サバンナチャンス」はストック放出型のATで、1回あたりの中身がナビ回数10回・20回・30回・EXの4段階に振り分けられる。最小と最大で3倍以上開くので、引いた時点では出玉が決まらない。AT終了後は潜伏に移り、潜伏中は全役でストック放出を抽選する。ストックが残っている限りサバンナチャンスが続く形なので、やめどきの判断はゲーム数ではなく潜伏を抜けたかどうかに寄る。公開されている出玉率は設定1が97.8%、設定2が98.7%、設定4が105.6%、設定5が108.6%、設定6が114.3%で、設定3は資料に載っていない。サバンナチャンスの初当りは設定1が1/327、設定6が1/280で1.17倍。初当りが1.17倍しか動かないのに出玉率が16.5pt開くので、設定差の本体は潜伏のストック放出側にある。ベースは約32G/50枚、超サバンナチャンスの期待枚数は3000枚以上とされている。","https://parlourfullslotl.com/archives/180135","5","jyuou_smaslo_new_20261005_sammy_savanna_chance_stock_houshutsu_navi_10_20_30_EX_4dankai_junzo_80mai_senpuku_zenyaku_stock_houshutsu_deidamaritsu_settei1_978_2_987_4_1056_5_1086_6_1143_settei3_kisai_nashi_hatsuatari_1_327_1_280_117bai_16_5pt_base_32g_chou_saba_3000mai","スロ専門編集"
"info","ちょんぼりすた","Lモグモグ風林火山 大海戦の巻","モグモグ風林火山 大海戦の巻の天井はゲーム数ではなく周期。600ptで1周期・最大6周期","9月7日導入のLモグモグ風林火山 大海戦の巻は、天井が周期で管理されている。600ptで1周期が進み、最大6周期が天井。設定変更後は4周期に短縮される。液晶のゲーム数で残り距離を測る台ではないので、朝一かどうかで届く位置が変わる。通常時は周期到達でCZ抽選が動き、CZはモグモグ大戦が期待度約53%、モグラ叩きが約70%。メインATの提督決戦RUSHは純増約3.1枚の差枚数管理型で、初期枚数が150枚から1000枚まで振り分けられる。当たった時点で価値が最大6.7倍違う設計なので、当選音の後に何枚から始まったかを見る必要がある。上位の超提督決戦RUSHに上がると純増約7.4枚まで跳ねる。設定差はCZ確率が設定1で1/324・設定6で1/287、AT初当りが1/431から1/358で1.20倍。出玉率は設定1が97.5%、設定2が98.8%、設定3が100.3%、設定4が103.7%、設定5が107.3%、設定6が111.5%。","https://chonborista.com/slot/net-slot/263515/","5","mogumogu_fuurinkazan_daikaisen_info_tenjo_shuuki_600pt_1shuuki_saidai_6shuuki_settei_henkougo_4shuuki_cz_mogumogu_taisen_53pct_moguratataki_70pct_teitoku_kessen_rush_junzo_31mai_shomai_150_1000mai_67bai_chou_74mai_cz_1_324_1_287_at_1_431_1_358_120bai_975_988_1003_1037_1073_1115","編集部のマニア"
"new","グリーンべると","Lパチスロ 彼女、お借りします","かのかりは1Gレンチャンスに失敗しても必ず66Gの引き戻しに入る。当たりが平均92%ループする","9月7日導入のLパチスロ 彼女、お借りしますは、当たった後の戻り方に設計が寄っている。CZから狙うボーナスは3種類で、かのかりボーナスが約150枚、REGが約70枚、ななかりドリームが約550枚。連チャンの本体は1Gレンチャンスで、ストック1個につき2Gの継続が付く。規定回数をクリアするとエピソードボーナスに入る。効いてくるのは、1Gレンチャンスに失敗してストックも無くなった場合に必ず66Gの引き戻しゾーンへ入る点。引き戻し期待度は約25%だが、上位のユメカノモードなら約58%まで上がる。この2段構えでボーナスの平均ループ率が約92%になる。ユメカノモードはスペシャルエピソード勝利で確定するので、エピソードを引けたかどうかがその日の形を決める。やめどきは66Gを回し切ったかどうか。当選直後の見た目が薄くても途中で立つと引き戻しの権利を捨てることになる。","https://web-greenbelt.jp/post-115527/","5","kanokari_new_20260907_1g_renchance_shippai_stock_nashi_de_kanarazu_66g_hikimodoshi_zone_kitaido_25pct_yumekano_mode_58pct_bonus_heikin_loop_92pct_kanokari_bonus_150mai_reg_70mai_nanakari_dream_550mai_stock_1ko_2g_episode_bonus_special_episode_shouri_de_yumekano_kakutei_yamedoki_66g","編集長補佐"
"info","なな徹／DMMぱちタウン","スマスロ ゴールデンカムイ","ゴールデンカムイの天井は1800ピュウで、ゲーム数ではない。1600ピュウが平均640G","2024年4月導入のスマスロ ゴールデンカムイは、天井が規定「ピュウ☆」数で管理されている。最大1800ピュウ到達が天井で、設定変更時は1600ピュウ＝平均約640Gに短縮される。ピュウはゲーム数と1対1ではないため、液晶のG数だけで残り距離を測ると外れる。1600ピュウが平均640Gという換算をあてはめると1800ピュウはおおよそ720G相当で、ベースは50枚あたり約37G。ボーナス合算の初当りは設定1が1/308.1・設定6が1/248.8で1.24倍、AT直撃は1/818.4から1/647.3。AT黄金神威は初期100G・純増約2.7枚のゲーム数上乗せ型で、上位では約4.5枚になる。出玉率は設定1が97.9%、設定2が98.6%、設定3が100.8%、設定4が105.4%、設定5が108.8%、設定6が113.3%。SIS週次では設置121週で出玉率の中央値98.50%、コイン単価3.45円、1台1日あたりの粗利2123円。2年以上残っている台の割に投稿が集まっていない機種でもある。","https://p-town.dmm.com/machines/4516","5","golden_kamui_info_tenjo_kitei_pyuu_suu_saidai_1800pyuu_settei_henkou_1600pyuu_heikin_640g_gsuu_to_1tai1_dewanai_1800_yaku_720g_base_50mai_37g_bonus_gassan_1_3081_1_2488_124bai_at_chokugeki_1_8184_1_6473_ougon_kamui_shoki_100g_junzo_27mai_joui_45mai_979_986_1008_1054_1088_1133_sis_121shuu_9850_345en_arari_2123","深夜のスロライター"
"jissen","ちょんぼりすた／SIS週次","A-SLOT+ この素晴らしい世界に祝福を！","天井が無い台が102週残っている。このすばはビタ押しの精度を1コマ17分割で判定する","A-SLOT+ この素晴らしい世界に祝福を！は天井を積んでいない。2024年9月2日導入で、SIS週次には102週載り続けている。残っている理由は数字に出ていて、コイン単価が2.26円と低く、出玉率の中央値は99.60%。1台1日あたりの粗利は964円で、直近13週の116機種中央値2016円の半分以下だった。店の取り分が薄い台が2年置かれている。腕で動く幅も大きく、出玉率は設定1が98.5%・完全攻略時100.2%、設定6が107.6%・完全攻略時110.4%で、目押しの精度だけで1.7〜2.8pt動く。ビタ押しは1コマを17ステップに分けて判定され、ステップ12から祝福カットインが出る。何コマずれたかではなく、どれだけ寄せたかが画面に返ってくる形。ボーナスはBBが約250枚・RBが約50枚で、合算は設定1が1/159.8、設定6が1/135.1。設定1でも1/159.8と軽いので、天井が無くても回し続けられる。","https://chonborista.com/slot/sammy-slot/216450/","5","konosuba_aslot_plus_jissen_tenjo_nashi_20240902_sis_102shuu_coin_tanka_226en_deidamaritsu_chuuouchi_9960_arari_964en_vs_116kishu_chuuouchi_2016en_settei1_985_kanzen_1002_settei6_1076_kanzen_1104_bita_1koma_17step_step12_kara_shukufuku_cutin_bb_250mai_rb_50mai_gassan_1_1598_1_1351","スロ好き編集マン"
"jissen","なな徹／SIS週次","Lパチスロ閃乱カグラ2 SHINOVI MASTER","閃乱カグラ2はボーナス1/92と軽いのにAT初当りは1/398.4。ボーナス4回に1回しか繋がらない","2024年9月2日導入のLパチスロ閃乱カグラ2 SHINOVI MASTERは、ボーナス合算が設定1で1/92と軽い。ところがAT初当りは1/398.4なので、ボーナスを引いてもATに繋がるのは4回に1回強しかない。ボーナスの軽さを当たりの軽さと読むと投資の見積もりを外す台。天井も2本立てで、500G+α消化か、ボーナス最大10回スルーのどちらか。ゲーム数だけを見ているとスルー回数側で天井が近い台を見落とす。AT閃乱艶舞は30G固定のSTで純増約2.2枚、ボーナスか再艶の当選で繋ぐ。出玉率は設定1が97.7%、設定2が98.9%、設定3が101.0%、設定4が105.2%、設定5が108.2%、設定6が110.3%。AT初当りは設定6で1/307.8＝1.29倍で、設定差はAT側に寄っている。SIS週次では設置102週、出玉率の中央値98.60%、コイン単価3.01円。直近6週のアウトは5006枚で全期間の中央値4871枚を上回っており、2年目でも落ちていない。","https://p-town.dmm.com/machines/4610","5","senran_kagura2_shinovi_master_jissen_bonus_gassan_settei1_1_92_karui_noni_at_hatsuatari_1_3984_4kai_ni_1kai_tenjo_2hondate_500g_alpha_ka_bonus_saidai_10kai_through_at_senran_enbu_30g_kotei_st_junzo_22mai_977_989_1010_1052_1082_1103_settei6_1_3078_129bai_sis_102shuu_9860_301en_chokkin6shuu_out_5006_vs_4871","ライター見習い"
"episode","P-WORLD","押忍!操","押忍!操は重いボーナス2種が全設定共通。設定差はART初当り1/384.5から1/209.8の1.83倍だけ","2010年5月導入の押忍!操（大都技研・型式オスミサオ17・検定9S1429）は、設定差の置き場所がはっきりしていた。SUPER BIG BONUSは青7が1/5461.3、白7が1/2978.9で、この2つは全設定共通。ノーマルBIGが1/1285から1/963.8、REGが1/753.3から1/524.3と小さく動くだけで、大きく開くのはART初当りの1/384.5から1/209.8＝1.83倍だった。出玉率は設定1が97.4%、設定2が98.9%、設定3が99.8%、設定4が104.6%、設定5が108.1%、設定6が113.1%。獲得枚数はSUPER BIGが462枚超の払い出しで終了してMAX408枚、BIGが308枚超でMAX276枚、REGが12G消化か5回入賞で約56枚。同じ7揃いでも408枚と56枚で7.3倍違う。ART操LIVE BONUSは1セット50Gで1Gあたり約1.2枚増加する押し順型。天井は1281G以降で、見返りが枚数でもゲーム数でもなく「次回ボーナスまでARTをストック」という権利の形だった。","https://www.p-world.co.jp/machine/database/5934","5","osu_misao_episode_daito_201005_osumisao17_9S1429_super_big_ao7_1_54613_shiro7_1_29789_zensettei_kyoutsuu_normal_big_1_1285_1_9638_reg_1_7533_1_5243_art_1_3845_1_2098_183bai_974_989_998_1046_1081_1131_sbb_max408mai_462mai_koe_big_max276mai_308mai_reg_56mai_12g_5kai_art_50g_12mai_oshijun_tenjo_1281g_jikai_bonus_made_stock","編集部のマニア"
