機種名,略称,メーカー,種類,カテゴリ,導入,稼働週,状況,コイン単価(公表),MY(設定1),MY×単価(円),ATTS,純増(最高),SIS平均アウト,SIS平均MY,SIS割数%
クレアの秘宝伝,クレア,大都技研,スマスロ,AT,2025-09,,,2.3,,0,,,11940,+4534,98.8
Lドルアーガの塔,ドルアーガ,ユニバーサル,スマスロ,A＋AT,2025-09,,,2.6,,0,,,7113,+3743,98.1
ドルアーガの塔,ドルアーガ,ユニバーサル,6.5号機～,A＋AT,2025-09,,,2.6,,0,,,7113,+3743,98.1
ネオアイムジャグラー,ネオジャグ,北電子,6.5号機～,A,2025-08,,,,,0,,,,,
なめ猫,なめ猫,ネオス,6.5号機～,AT,2025-08,,,3.3,,0,155,2.9,,,
ダーリンインザフランキス,ダリフラ,フィールズ,スマスロ,AT,2025-08,,,4.0,3930,15720,229,5.0,,,
マタドール|||,マタドール,北電子,スマスロ,BT,2025-08,,,,,0,,,,,
アズールレーン,アズレン,京楽,スマスロ,AT,2025-08,,,3.6,3912,14083,598,5.1,12936,+6195,98.8
転生したら剣でした,転剣,コナミ,スマスロ,AT,2025-08,,,3.1,2953,9154,403,4.5,8074,+3756,98.7
咲～頂上決戦～,咲,サンヨー,スマスロ,AT,2025-08,,,3.2,2912,9318,398,4.5,,,
ハイビリターン-30,ハイビ,パイオニア,6.5号機～,AT,2025-07,,,4.0,,0,296,9.0,,,
アレックスブライト,アレックス,ユニバーサル,スマスロ,BT,2025-07,,,2.5,2236,5590,,,13267,+3128,99.4
わたしの幸せな結婚,わた婚,コナミ,スマスロ,AT,2025-07,,,3.4,3183,10822,594,4.2,9496,+3214,99.5
エヴァンゲリオンー約束の扉ー,エヴァ約束,サンキョー,スマスロ,BT,2025-07,,,2.1,,0,,,,,
トリプルクラウン,トリプルクラウン,岡崎産業,スマスロ,BT,2025-07,,,2.4,,0,,,5131,+1545,98.9
絶対衝激4,絶対衝激4,フィールズ,スマスロ,A＋AT,2025-06,,,2.4,,0,336,0.3,,,
